VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	tintsit_s	1	1	n/a	1E-13	tax : income tax : schedule : individual taxation : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintsjt_s	1	1	n/a	1E-13	tax : income tax : schedule : joint taxation : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintsna_s	1	1	n/a	1E-13	tax : income tax : schedule : national government : simulated	-	National Income tax schedule 	-	-	-	-	-	-	-	-	-	-	-	-			
	tinty_s	1	1	n/a	1E-13	tax : income tax : taxable income : simulated	-	-	-	-	-	-	-	Effective taxable income	TAX taxable income (renta tributable)	-	-	-	-	-			
	tintyjt_s	1	1	n/a	1E-13	tax : income tax : taxable income : joint taxation : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinwh_s	1	1	n/a	1E-13	tax : income tax : withholding : simulated	-	-	withholding income tax (kinnipeetud tulumaks)	-	-	-	-	-	-	withholding income tax	withholding tax on benefits	-	-	-			
	tinwhtace_s	1	1	n/a	1E-13	tax : income tax : withholding : tax allowance : cost of earnings : simulated	cost of earnings deduction withholding tax	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinwhtasp_s	1	1	n/a	1E-13	tax : income tax : withholding : tax allowance : spouse : simulated	income transfer between spouses in case of withholding tax	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinwhtb_s	1	1	n/a	1E-13	tax : income tax : withholding : tax base : simulated	tax base for withholding tax	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinwhtc_s	1	1	n/a	1E-13	tax : income tax : withholding : tax credit : simulated	withholding tax: tax credit	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinwhts_s	1	1	n/a	1E-13	tax : income tax : withholding : schedule : simulated	base amount withholding tax	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tis	0	1	n/a	0	tax : income tax and sics	income tax plus contributions	-	-	-	-	-	-	Tax on income and social contributions of the household (Dan z prijmu a odvody na socialni pojisteni domacnosti)	TAX income tax plus contributions (IRPF mas cotizaciones)	-	-	-	-	-			
	tispy	0	1	n/a	0	tax : income tax and sics : previous year	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tkt_s	1	1	n/a	1E-13	tax : capital taxation : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tmu	0	1	n/a	0	tax : municipal government	-	-	-	-	-	-	-	-	-	-	-	Council Tax	-	-			
	tpa_s	1	1	n/a	1E-13	tax : payroll tax : simulated	-	-	-	-	-	payroll tax	-	-	-	-	-	-	-	-			
	tpcctpi_s	1	1	n/a	0.0000000000001	tax : comp prvt ctrb : credited contributions : pension insurance : simulated	-	-	credited contributions: pension (2nd pillar)	-	-	-	-	-	-	-	-	-	-	-			
	tpcee_s	1	1	n/a	0.0000000000001	tax : comp prvt ctrb : employee : simulated	-	-	-	-	-	-	-	-	-	-	-	Private pension contribution	-	-			
	tpceepi_s	1	1	n/a	1E-13	tax : comp prvt ctrb : employee : pension insurance : simulated	-	-	employee SIC: funded pension contribution	-	-	-	-	-	-	-	-	-	-	-			
	tpceepx	0	0	n/a	0.0000000000001	tax : comp prvt ctrb : employee : proportional amount	-	-	-	-	-	-	-	-	-	-	-	Private pension contribution rate	-	-			
	tpcpe	0	1	n/a	0	tax : comp prvt ctrb : pensioner	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tpcsepi_s	1	1	n/a	1E-13	tax : comp prvt ctrb : self-employed : pension insurance : simulated	-	-	self-employed SIC: funded pension contribution	-	-	-	-	-	-	-	-	-	-	-			
	tpr	0	1	n/a	0	tax : property tax	-	Local Property tax (ICI)	land tax (maamaks)	-	-	-	-	Property tax (Dan z nemovitosti)	TAX property tax (impuesto de propiedades)	property/wealth taxes	property tax	-	-	-			
	tscbesi_s	1	1	n/a	1E-13	tax : sic : on benefit : sickness : simulated	-	-	-	-	-	-	-	-	-	-	contributions by people on benefits: sickness	-	-	-			
	tsccthl_s	1	1	n/a	0.0000000000001	tax : sic : credited contributions : health : simulated	-	-	credited contributions: health	-	-	-	-	-	-	-	-	-	-	-			
	tscctpi_s	1	1	n/a	0.0000000000001	tax : sic : credited contributions : pension insurance : simulated	-	-	credited contributions: pension (1st pillar)	-	-	-	-	-	-	credited contributions: pension	-	-	-	-			
	tscctui_s	1	1	n/a	0.0000000000001	tax : sic : credited contributions : unemployment insurance : simulated	-	-	-	-	-	-	-	-	-	credited contributions: unemployment	-	-	-	-			
	tscdb_s	1	1	n/a	1E-13	tax : sic : disabled : simulated	SICs on disability benefits	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscee	0	1	n/a	0	tax : sic : employee	employee social contribution	-	-	-	-	employee social contribution	-	Social Insurance Contribution of employee (Odvod socialniho pojisteni zamestnance)	SIC employee social contribution (cotizacion social del empleado)	-	-	-	-	-			
	tscee_s	1	1	n/a	1E-13	tax : sic : employee : simulated	employee SICs	employee SIC (total)	-	employee social insurance contributions (total)	-	-	Employee SICs	Social Insurance Contribution of employee (Odvod socialniho pojisteni zamestnance)	SIC employee social contribution (cotizacion social del empleado)	-	-	employee SICs	-	-			
	tsceedi_s	1	1	n/a	1E-13	tax : sic : employee : disability insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceefa_s	1	1	n/a	1E-13	tax : sic : employee : family : simulated	-	-	-	-	-	-	-	-	-	-	employee SIC: family benefits	-	-	-			
	tsceehl_s	1	1	n/a	1E-13	tax : sic : employee : health : simulated	-	-	-	Employee Social Insurance Contribution  - Health	-	-	-	Social Insurance Contribution of employee: health	-	-	-	-	-	-			
	tsceeml_s	1	1	n/a	1E-13	tax : sic : employee : maternity leave insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceemy_s	1	0	n/a	1E-13	tax : sic : employee : months per year : simulated	-	-	-	-	-	-	-	-	SIC number of employee contributions per year	-	-	-	-	-			
	tsceeot_s	1	1	n/a	1E-13	tax : sic : employee : other : simulated	-	-	-	-	-	-	-	-	SIC employee social contribution - other (cotizacion social del empleado - otras)	-	employee SIC: other benefits	-	-	-			
	tsceepi_s	1	1	n/a	1E-13	tax : sic : employee : pension insurance : simulated	-	Employee SICs for pension funds (IVS)	-	Employee Social Insurance Contribution  -Pension 	-	-	-	Social Insurance Contribution of employee: pension	SIC employee social contribution - pensions (cotizacion social del empleado - pensiones)	employee SIC: pension	employee SIC: pension	-	-	-			
	tsceerd_s	1	1	n/a	1E-13	tax : sic : employee : reduction : simulated	employee sic reduction (workbonus)	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceesf_s	1	1	n/a	0.0000000000001	tax : sic : employee : salary protection fund : simulated	-	Employee SICs for redundancy fund	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceesi_s	1	1	n/a	1E-13	tax : sic : employee : sickness : simulated	-	-	-	-	-	-	-	Social Insurance Contribution of employee: sickness	-	employee SIC: sickness & maternity	employee SIC: sickness	-	-	-			
	tsceesp_s	1	1	n/a	1E-13	tax : sic : employee : spouse : simulated	special/complementary SIC contribution	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceetp_s	1	1	n/a	1E-13	tax : sic : employee : type : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsceeui_s	1	1	n/a	1E-13	tax : sic : employee : unemployment insurance : simulated	-	-	employee SIC: unemployment	-	-	-	-	Social Insurance Contribution of employee: unemployment	SIC employee social contribution - unemployment (cotizacion social del empleado - desempleo)	-	employee SIC: unemployment	-	-	-			
	tscer	0	1	n/a	0	tax : sic : employer	employer social contribution	-	-	-	-	employer social contribution	-	Social Insurance Contribution of employer (Odvod socialniho pojisteni zamestnavatele)	SIC employee social contribution (cotizacion social del empleador)	-	-	-	-	-			
	tscer_s	1	1	n/a	1E-13	tax : sic : employer : simulated	-	employer SIC (total)	-	employer social insurance contributions (total)	-	-	Employer SICs	Social Insurance Contribution of employer (Odvod socialniho pojisteni zamestnavatele)	SIC employer social contribution (cotizacion social del empleador)	-	-	-	-	-			
	tscerac_s	1	1	n/a	1E-13	tax : sic : employer : accident : simulated	-	-	-	-	-	-	-	-	-	employer SIC: empl. injuries etc	-	-	-	-			
	tscerci_s	1	1	n/a	0.0000000000001	tax : sic : employer : care insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerdc_s	1	1	n/a	1E-13	tax : sic : employer : daycare : simulated	employer sic daycare	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerdi_s	1	1	n/a	1E-13	tax : sic : employer : disability insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscered_s	1	1	n/a	1E-13	tax : sic : employer : educational leave : simulated	employer sic educational leave	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerei_s	1	1	n/a	1E-13	tax : sic : employer : employer insolvency : simulated	employer sic company closing fund	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerfa_s	1	1	n/a	1E-13	tax : sic : employer : family : simulated	employer sic contribution family allowances	employer SIC (family benefits)	-	-	-	-	-	-	-	-	employer SIC: family benefits	-	-	-			
	tscerhe_s	1	1	n/a	1E-13	tax : sic : employer : holiday earnings : simulated	employer sic holiday earnings	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerhl_s	1	1	n/a	1E-13	tax : sic : employer : health : simulated	-	-	employer SIC: health	Employer Social Insurance Contribution  - Health	-	-	-	Social Insurance Contribution of employer: health	-	employer SIC: health	-	-	-	-			
	tscerir_s	1	1	n/a	1E-13	tax : sic : employer : integration/(re)employment : simulated	employer sic integration/(re)employment vulnerable groups	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerml_s	1	1	n/a	1E-13	tax : sic : employer : maternity leave insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerot_s	1	1	n/a	1E-13	tax : sic : employer : other : simulated	-	-	-	-	-	-	-	-	SIC employer social contribution - other (cotizacion social del empleador - otras)	-	employer SIC: other benefits	-	-	-			
	tscerpi_s	1	1	n/a	1E-13	tax : sic : employer : pension insurance : simulated	-	employer SIC (pension)	employer SIC: pension	Employer Social Insurance Contribution  -Pension 	-	-	-	Social Insurance Contribution of employer: pension	SIC employer social contribution - pensions (cotizacion social del empleador - pensiones)	employer SIC: pension	employer SIC: pension	-	-	-			
	tscerrd_s	1	1	n/a	1E-13	tax : sic : employer : reduction : simulated	reduction employer's SIC	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscersf_s	1	1	n/a	1E-13	tax : sic : employer : salary protection fund : simulated	employer sic wage moderation	employer SIC (salary protect fund)	-	-	-	-	-	-	-	employer SIC: guarantee fund	-	-	-	-			
	tscersi_s	1	1	n/a	1E-13	tax : sic : employer : sickness : simulated	-	employer SIC (sickness)	-	-	-	-	-	Social Insurance Contribution of employer: sickness	-	employer SIC: sickness & maternity	employer SIC: sickness	-	-	-			
	tscersv_s	1	1	n/a	0.0000000000001	tax : sic : employer : severance pay : simulated	-	employer SIC (severance pay)	-	-	-	-	-	-	-	-	-	-	-	-			
	tscertp_s	1	1	n/a	1E-13	tax : sic : employer : type : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscerui_s	1	1	n/a	1E-13	tax : sic : employer : unemployment insurance : simulated	-	employer SIC (unemployment)	employer SIC: unemployment	-	-	-	-	Social Insurance Contribution of employer: unemployment	SIC employer social contribution - unemployment (cotizacion social del empleador - desempleo)	employer SIC: unemployment	employer SIC: unemployment	-	-	-			
	tscfr_s	1	1	n/a	1E-13	tax : sic : farmer : simulated	-	-	-	-	farmer social insurance contribution	-	-	-	-	-	-	-	-	-			
	tscfrot_s	1	1	n/a	0.0000000000001	tax : sic : farmer : other : simulated	-	-	-	-	-	-	-	-	-	-	farmers SIC: other	-	-	-			
	tscfrpi_s	1	1	n/a	1E-13	tax : sic : farmer : pension insurance : simulated	-	-	-	-	-	-	-	-	-	-	farmers SIC: pension	-	-	-			
	tscfrsi_s	1	1	n/a	1E-13	tax : sic : farmer : sickness : simulated	-	-	-	-	-	-	-	-	-	-	farmers SIC: sickness	-	-	-			
	tschl00_s	1	0	n/a	1E-13	tax : sic : health : main/basic : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	Earnings-related health insurance contributions			
	tschl_s	1	0	n/a	1E-13	tax : sic : health : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	Combined health insurance contributions			
	tschlfx_s	1	0	n/a	1E-13	tax : sic : health : fixed amount : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	Fixed health insurance contribution 			
	tschlgv_s	1	1	n/a	1E-13	tax : sic : health : state/government : simulated	-	-	-	-	-	-	-	"State funded public health insurance contributions (students, pensioners, children, etc.)"	-	-	-	-	-	-			
	tscmaee_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employee : simulated	-	-	-	-	"sic on maternity leave, employee "	-	-	-	-	-	-	-	-	-			
	tscmaeedi_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employee : disability insurance : simulated	-	-	-	-	"sic on maternity leave, employee disability contribution"	-	-	-	-	-	-	-	-	-			
	tscmaeepi_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employee : pension insurance : simulated	-	-	-	-	"sic on maternity leave, employee retirement contribution"	-	-	-	-	-	-	-	-	-			
	tscmaer_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employer : simulated	-	-	-	-	"sic on maternity leave, employer "	-	-	-	-	-	-	-	-	-			
	tscmaerdi_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employer : disability insurance : simulated	-	-	-	-	"sic on maternity leave, employer disability contribution"	-	-	-	-	-	-	-	-	-			
	tscmaerpi_s	1	1	n/a	1E-13	tax : sic : on maternity leave : employer : pension insurance : simulated	-	-	-	-	"sic on maternity leave, employer retirement contribution"	-	-	-	-	-	-	-	-	-			
	tscpe_s	1	1	n/a	1E-13	tax : sic : pensioner : simulated	pensioner SICs	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscse	0	1	n/a	0	tax : sic : self-employed	social contribution on self employment income	-	-	-	-	-	social contribution on self employment income	Social Insurance Contribution of self-employed (Odvod socialniho pojisteni podnikatele)	SIC self-employed social contribution (cotizacion social del trabajador autonomo)	-	-	-	-	-			
	tscse_s	1	1	n/a	1E-13	tax : sic : self-employed : simulated	self-employed SICs	self-employed SIC (total)	-	self-employed social insurance contributions (total)	-	-	Self-employed SICs	Social Insurance Contribution of self-employed (Odvod socialniho pojisteni podnikatele)	SIC self-employed social contribution (cotizacion social del trabajador autonomo)	-	-	self-employed SICs	-	-			
	tscseac_s	1	1	n/a	0.0000000000001	tax : sic : self-employed : accident : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscseci_s	1	1	n/a	0.0000000000001	tax : sic : self-employed : care insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscsedi_s	1	1	n/a	1E-13	tax : sic : self-employed : disability insurance : simulated	-	-	-	-	-	-	-	-	SIC self-employed social contribution - disability (cotizacion social del trabajador autonomo - invalidez)	-	-	-	-	-			
	tscsehl_s	1	1	n/a	1E-13	tax : sic : self-employed : health : simulated	-	-	self-employed SIC: health	Self-employed Social Insurance Contribution  - Health	-	-	-	Social Insurance Contribution of self-employed: health	SIC self-employed social contribution - health (cotizacion social del trabajador autonomo - enfermedad)	self-employed SIC: health (privalomojo sveikatos draudimo ?mokos)	-	-	-	-			
	tscseir_s	1	1	n/a	0.0000000000001	tax : sic : self-employed : integration/(re)employment : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscseml_s	1	1	n/a	1E-13	tax : sic : self-employed : maternity leave insurance : simulated	-	Self-employed SICs for maternity fund	-	-	-	-	-	-	-	-	-	-	-	-			
	tscsemy_s	1	0	n/a	1E-13	tax : sic : self-employed : months per year : simulated	-	-	-	-	-	-	-	-	number of employee contributions per year	-	-	-	-	-			
	tscseot_s	1	1	n/a	1E-13	tax : sic : self-employed : other : simulated	-	-	-	-	-	-	-	-	-	-	self-employed SIC: other benefits	-	-	-			
	tscsepi_s	1	1	n/a	1E-13	tax : sic : self-employed : pension insurance : simulated	-	Self-employed SICs for pension funds (IVS)	self-employed SIC: pension	Self-employed Social Insurance Contribution  -Pension 	-	-	-	Social Insurance Contribution of self-employed: pension	SIC self-employed social contribution - pension (cotizacion social del trabajador autonomo - pension)	self-employed SIC: pension (socialinio draudimo ?mokos)	self-employed SIC: pension	-	-	-			
	tscsesi_s	1	1	n/a	1E-13	tax : sic : self-employed : sickness : simulated	-	-	-	-	-	-	-	Social Insurance Contribution of self-employed: sickness	-	-	self-employed SIC: sickness	-	-	-			
	tscseui_s	1	1	n/a	1E-13	tax : sic : self-employed : unemployment insurance : simulated	-	-	-	-	-	-	-	Social Insurance Contribution of self-employed: unemployment	-	-	-	-	-	-			
	tsctbee_s	1	1	n/a	1E-13	tax : sic : tax base : employee : simulated	-	-	-	-	-	-	-	-	SIC employee social contribution - contribution base (cotizacion social del empleado - base de contribucion)	-	-	-	-	-			
	tsctbse_s	1	1	n/a	1E-13	tax : sic : tax base : self-employed : simulated	-	-	-	-	-	-	-	self employed contribution base	SIC self-employed social contribution - contribution base (cotizacion social del trabajador autonomo - base de contribucion)	-	-	-	-	-			
	tsctbun_s	1	1	n/a	1E-13	tax : sic : tax base : unemployed : simulated	-	-	-	-	-	-	-	-	SIC unemployed contribution base (base de contribucion del desempleado)	-	-	-	-	-			
	tscun_s	1	1	n/a	1E-13	tax : sic : unemployed : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscundi_s	1	1	n/a	1E-13	tax : sic : unemployed : disability insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscunee_s	1	1	n/a	1E-13	tax : sic : unemployed : employee : simulated	-	-	-	-	-	-	-	-	SIC unemployed social contribution - paid by unemployed (cotizacion social del desempleado - pagada por el desempleado)	-	-	-	-	-			
	tscuner_s	1	1	n/a	1E-13	tax : sic : unemployed : employer : simulated	-	-	-	-	-	-	-	-	SIC unemployed social contribution - paid by Social Security (cotizacion social del desempleado - pagada por el INEM)	-	-	-	-	-			
	tscunpi_s	1	1	n/a	1E-13	tax : sic : unemployed : pension insurance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tscwheesp_s	1	1	n/a	1E-13	tax : sic : withholding : employee : spouse : simulated	special SIC contribution: monthly	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tsetp	0	0	n/a	0	tax : self-employed : type	-	-	-	"type of self-employment regarding taxation: (1) joint business and entrepreneurs, (2) EVA payers"	-	-	-	-	-	-	-	-	-	-			
	ttferpi_s	1	1	n/a	1E-13	tax : transfer : employer : pension insurance : simulated	-	-	employer pension SIC transfer	-	-	-	-	-	-	-	-	-	-	-			
	ttfsepi_s	1	1	n/a	1E-13	tax : transfer : self-employed : pension insurance : simulated	-	-	self-employed pension SIC transfer	-	-	-	-	-	-	-	-	-	-	-			
	twl	0	1	n/a	0	tax : wealth	-	-	-	-	-	-	-	-	TAX wealth tax (impuesto a la riqueza)	-	-	-	-	-			
	txc_s	1	1	n/a	0.0000000000001	tax : special ctrb : simulated	-	-	-	-	-	-	-	-	-	-	extraordinary tax contribution	-	-	-			
	xcc	0	1	n/a	0	expenditure : child care	-	-	-	-	child care expenses	-	-	-	-	-	-	child care expenses	-	-			
	xcd	0	1	n/a	0	expenditure : charitable donations	-	-	-	-	donation expenses	-	-	-	-	-	-	-	-	-			
	xcmie	0	1	n/a	0	expenditure : communication : internet	-	-	-	-	internet expenses	-	-	-	-	-	-	-	-	-			
	xed	0	1	n/a	0	expenditure : education	-	-	education expenditure	tax credit element - switched off	-	-	-	-	-	-	education expenses	-	-	-			
	xhc	0	1	n/a	0	expenditure : housing cost	housing expenditure	-	total housing cost	acknowledged costs of home maintenance	-	-	-	Total housing costs (Celkove naklady bydleni)	other housing costs (otros costes de la vivienda)	total housing cost	total housing cost	-	-	-			
	xhc00	0	1	n/a	0	expenditure : housing cost : main/basic	-	-	-	-	main housing costs	-	-	-	-	-	-	-	-	-			
	xhchm	0	1	n/a	0	expenditure : housing cost : house maintenance	-	Refurbishment cost	-	-	house maintenance	-	-	-	-	-	-	-	-	-			
	xhcmo	0	1	n/a	0	expenditure : housing cost : mortgage payment (interest+capital)	-	-	-	tax credit element - switched off	mortgage expenses	-	-	-	-	-	-	-	-	-			
	xhcmomc	0	1	n/a	0	expenditure : housing cost : mortgage payment (interest+capital) : mortgage capital	-	-	-	-	mortgage capital	-	-	-	-	-	-	mortgage capital	-	-			
	xhcmomi	0	1	n/a	0	expenditure : housing cost : mortgage payment (interest+capital) : mortgage interest	Mortgage interest payment	Mortgage interest payment	mortgage interest payment	mortgage expenses-interests	mortgage expenses-interests	-	-	Mortgage Interest (Splatky hypoteky)	mortgage interests (pago de intereses por hipoteca)	mortgage interests payments	mortgage interests payments	mortgage interests paid	-	-			
	xhcot	0	1	n/a	0	expenditure : housing cost : other	-	-	other housing costs	-	other housing costs	-	-	Other housing costs	-	-	other housing costs	other housing costs	-	-			
	xhcrt	0	1	n/a	0	expenditure : housing cost : rent	rent payment	Rent	rent payment	-	-	-	-	Rent for housing (Najemne)	rent payment (pago por alquiler)	rent payment	rent payment	Rent paid	-	-			
	xhcsc	0	1	n/a	0	expenditure : housing cost : service charges	-	Compulsory service charges	-	-	service charges	-	-	-	-	-	-	service charges	-	-			
	xhcscel	0	1	n/a	0	expenditure : housing cost : service charges : electricity	-	-	-	-	house service charges - electricity	-	-	-	-	-	-	-	-	-			
	xhcscht	0	1	n/a	0	expenditure : housing cost : service charges : heating	-	-	-	-	house service charges - heating	-	-	-	-	-	-	-	-	-			
	xhcscrf	0	1	n/a	0	expenditure : housing cost : service charges : refuse	-	-	-	-	house service charges - refuse	-	-	-	-	-	-	-	-	-			
	xhcscwt	0	1	n/a	0	expenditure : housing cost : service charges : water	-	-	-	-	house service charges - water	-	-	-	-	-	-	-	-	-			
	xhl	0	1	n/a	0	expenditure : health care	-	-	-	-	-	-	-	-	-	-	medical expenses	-	-	-			
	xht	0	1	n/a	0	expenditure : heating	-	-	-	-	-	-	-	-	-	-	expenses for setting up new heating systems	-	-	-			
	xishl	0	1	n/a	0	expenditure : insurance : health care	-	-	-	tax credit element - switched off	health insurance	-	-	-	-	-	-	-	-	-			
	xislf	0	1	n/a	0	expenditure : insurance : life insurance	-	-	-	tax credit element - switched off	-	-	-	-	-	-	-	-	-	-			
	xispp	0	1	n/a	0	expenditure : insurance : private pension (voluntary)	-	Contributions to Integrative Pension Plans (Pensione Integrativa Privata)	-	tax credit element - switched off	-	-	-	-	-	-	-	-	-	-			
	xivhcrt	0	1	n/a	0	expenditure : imputed value : housing cost : rent	-	-	-	-	imputed rent expense	-	-	-	-	-	-	-	-	-			
	xmp	0	1	n/a	0	expenditure : maintenance payment	Maintenance payments paid	Maintenance payments paid	alimony payments (alimendid)	-	maintenance payment	maintenance payments	-	Maintenance payments (Vydaje spojene s bydlenim)	maintenance payment (pago de transferencias privadas)	maintenance payment	-	maintenance paid	-	-			
	xmpam	0	1	n/a	0	expenditure : maintenance payment : alimony	-	-	-	-	-	-	-	-	-	-	alimony payments	-	-	-			
	xmpot	0	1	n/a	0	expenditure : maintenance payment : other	-	-	-	-	-	-	-	-	-	-	other maintenance payments	-	-	-			
	xpp	0	1	n/a	0	expenditure : private pension (voluntary)	-	Contributions to Private Pension Plans (Fondo pensione aziendale o integrativa)	voluntary private pension contributions	voluntary pension contributions	-	voluntary pension contributions	-	Voluntary private pension expenditures (Vydaje na soukrome dobrovolne penzijni pripojisteni)	private pension contribution (contribucion para plan de pension privado)	private pension contributions	private pension contributions	-	-	-			
	xuf	0	1	n/a	0	expenditure : labour union fee	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yaj	0	1	n/a	0	income : additonal jobs	-	-	-	-	-	contractual work	-	-	-	-	-	-	-	-			
	ychmp_s	1	1	n/a	0.0000000000001	income : children : maintenance payment : simulated	-	-	-	-	-	-	-	-	-	-	-	Maintenance Paym. received by child	-	-			
	ychot_s	1	1	n/a	0.0000000000001	income : children : other : simulated	-	-	-	-	-	-	-	-	-	-	-	Children earnings	-	-			
	ydg01_s	1	1	n/a	0.0000000000001	income : disregard : 01 : simulated	-	Income disregard	-	-	-	-	-	-	-	-	-	Disregard IS	-	-			
	ydg03_s	1	1	n/a	0.0000000000001	income : disregard : 03 : simulated	-	-	-	-	-	-	-	-	-	-	-	Disregard HBCTB	-	-			
	ydg04_s	1	1	n/a	0.0000000000001	income : disregard : 04 : simulated	-	-	-	-	-	-	-	-	-	-	-	Disregard CTB	-	-			
	yds	0	1	n/a	0	income : disposable	disposable income 	-	disposable income in the original survey	disposable income 	-	-	-	Disposable income of a household (Disponibilni prijem domacnosti)	original disposable income (renta disponible original)	disposable income in the original survey	disposable income in the original survey	-	-	-			
	yem	0	1	n/a	0	income : employment	employment income	employment income	employment income	employment income	employment income	employment income	Employment Income	Income from employment (Prijmy ze zamestnani)	employment income (rendimientos del trabajo por cuenta ajena)	employment income	employment income	employment income	-	-			
	yem_s	1	1	yem	1E-13	income : employment : simulated	-	-	-	-	-	-	-	-	ymw: employment income after applying minimum wage	-	-	-	-	-			
	yemab	0	1	n/a	0	income : employment : abroad	-	-	-	-	-	"employment income, from abroad"	-	-	-	-	-	-	-	-			
	yemeq_s	1	1	n/a	1E-13	income : employment : full-time equivalent employment : simulated	full-time equivalent employment income	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yemfb	0	1	n/a	0	income : employment : fringe benefits	-	fringe benefits	-	-	-	-	-	-	-	-	-	-	-	-			
	yemhl	0	1	n/a	0	income : employment : holiday bonus	-	-	-	-	-	"employment income, holiday bonus"	-	-	-	-	-	-	-	-			
	yemmy	0	0	n/a	12	income : employment : months per year	Employment income: no. months received in the year	Employment income: no. months received in the year	no. of months in employment	-	employment income: no. months received in the year	-	-	Months during last 12 months in employment (Pocet mesicu zamestnanosti behem poslednich 12 mesicu)	no. of months receiving employment income (no. de meses recibiendo rendimientos del trabajo por cuenta ajena)	no. of months in employment	no. of months receiving employment income	-	-	-			
	yemot	0	1	n/a	0	income : employment : other	-	-	-	-	-	other income from employment	-	-	-	-	-	-	-	-			
	yempj	0	1	yem	0	income : employment : permanent job	-	-	-	-	"employment income, permanent job"	-	-	-	-	-	-	-	-	-			
	yempv	0	1	n/a	0	income : employment : previous	-	Employment income arrears	previous employment income	tax credit element - switched off	-	-	-	-	-	previous employment income	-	-	-	-			
	yempv_s	1	1	n/a	1E-13	income : employment : previous : simulated	-	-	previous employment income	tax credit element - switched off	-	-	-	-	previous contribution base	previous employment income	-	-	-	-			
	yemtj	0	1	n/a	0	income : employment : temporary job	-	-	-	-	"employment income, temporary job"	-	-	-	-	-	-	-	-	-			
	yemwg	0	1	n/a	0	income : employment : wage/salary	-	-	-	-	-	wage income (only)	-	-	-	-	-	-	-	-			
	yemxm_s	1	1	n/a	1E-13	income : employment : monthly : simulated	-	-	-	-	-	-	-	-	Employment income received per month	-	-	-	-	-			
	yfb	0	1	n/a	0	income : fringe benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yivag_s	1	1	n/a	1E-13	income : imputed value : agriculture : simulated	-	-	-	-	Imputed income from agriculture for means-tested benefits	-	-	-	-	-	-	-	-	-			
	yiviy01_s	1	1	n/a	0.0000000000001	income : imputed value : investment : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	Tariff Income IS	-	-			
	yiviy03_s	1	1	n/a	0.0000000000001	income : imputed value : investment : 03 : simulated	-	-	-	-	-	-	-	-	-	-	-	Tariff Income HBCTB	-	-			
