ACRONYMS	Type		Level	Acronym	Description	Categorical	Categories																																																																																																																																																																																																																																																								
	sys_typelong	sys_typeshort	sys_levname	sys_acro	sys_desc	sys_categ	sys_first_categ																																																																																																																																																																																																																																																								
				08	08	0																																																																																																																																																																																																																																																									
				09	09	0																																																																																																																																																																																																																																																									
				10	10	0																																																																																																																																																																																																																																																									
				11	11	0																																																																																																																																																																																																																																																									
				12	12	0																																																																																																																																																																																																																																																									
				13	13	0																																																																																																																																																																																																																																																									
				14	14	0																																																																																																																																																																																																																																																									
				15	15	0																																																																																																																																																																																																																																																									
				16	16	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	EXPENDITURE	X																																																																																																																																																																																																																																																													
			Type of Var																																																																																																																																																																																																																																																												
				DV	Data Variable	0																																																																																																																																																																																																																																																									
				SV	Simulated Variable	0																																																																																																																																																																																																																																																									
				IV	Imputed value	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Payments																																																																																																																																																																																																																																																												
				CC	Child Care	0																																																																																																																																																																																																																																																									
				CD	Charitable donations	0																																																																																																																																																																																																																																																									
				CH	Children	0																																																																																																																																																																																																																																																									
				IS	Insurance	0																																																																																																																																																																																																																																																									
				IT	Interests	0																																																																																																																																																																																																																																																									
				KL	Capital Loan Interest	0																																																																																																																																																																																																																																																									
				MP	Maintenance Payment	0																																																																																																																																																																																																																																																									
				PP	Private Pension (voluntary)	0																																																																																																																																																																																																																																																									
				SL	Student Loan Interest	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Housing																																																																																																																																																																																																																																																												
				BR	Building and Refurbishing	0																																																																																																																																																																																																																																																									
				FH	First House	0																																																																																																																																																																																																																																																									
				HC	Housing cost	0																																																																																																																																																																																																																																																									
				HT	Heating	0																																																																																																																																																																																																																																																									
				MC	Mortgage Capital	0																																																																																																																																																																																																																																																									
				MI	Mortgage Interest	0																																																																																																																																																																																																																																																									
				MO	Mortgage Payment (interest+capital)	0																																																																																																																																																																																																																																																									
				NH	Not first house	0																																																																																																																																																																																																																																																									
				RT	Rent	0																																																																																																																																																																																																																																																									
				SC	Service Charges	0																																																																																																																																																																																																																																																									
				RF	refuse	0																																																																																																																																																																																																																																																									
				WT	water	0																																																																																																																																																																																																																																																									
				HM	house maintenance	0																																																																																																																																																																																																																																																									
				RH	Retirement home	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Work Related																																																																																																																																																																																																																																																												
				EC	Earning costs	0																																																																																																																																																																																																																																																									
				UF	Labour union fee	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Insurance																																																																																																																																																																																																																																																												
				AC	Accident Ins	0																																																																																																																																																																																																																																																									
				HI	Health Insurance	0																																																																																																																																																																																																																																																									
				LF	Life Insurance	0																																																																																																																																																																																																																																																									
				SE	Self Employed	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Class Expenses																																																																																																																																																																																																																																																												
				AL	Alcoholic Beverages	0																																																																																																																																																																																																																																																									
				BE	Beer	0																																																																																																																																																																																																																																																									
				BK	Book	0																																																																																																																																																																																																																																																									
				CL	Clothing and footwear	0																																																																																																																																																																																																																																																									
				CM	Communication	0																																																																																																																																																																																																																																																									
				DF	Domestic fuel	0																																																																																																																																																																																																																																																									
				ED	Education	0																																																																																																																																																																																																																																																									
				EL	Electricity	0																																																																																																																																																																																																																																																									
				FD	Food	0																																																																																																																																																																																																																																																									
				HL	Health Care	0																																																																																																																																																																																																																																																									
				HS	Household goods and services	0																																																																																																																																																																																																																																																									
				LE	Leisure goods and services	0																																																																																																																																																																																																																																																									
				NB	Non alcoholic beverages	0																																																																																																																																																																																																																																																									
				OG	Other goods and services	0																																																																																																																																																																																																																																																									
				PT	Petrol and other motor fuel	0																																																																																																																																																																																																																																																									
				RS	"Restaurants, hotels, cafe etc.."	0																																																																																																																																																																																																																																																									
				SP	Spirits	0																																																																																																																																																																																																																																																									
				TB	Tobacco	0																																																																																																																																																																																																																																																									
				TR	Transport	0																																																																																																																																																																																																																																																									
				WN	Wine	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Sub Class Expenses																																																																																																																																																																																																																																																												
				DI	Disability	0																																																																																																																																																																																																																																																									
				IE	Internet	0																																																																																																																																																																																																																																																									
				AM	Alimony	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Variable type																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																															
			Numbers																																																																																																																																																																																																																																																												
				00	Main/Basic	0																																																																																																																																																																																																																																																									
				01	01	0																																																																																																																																																																																																																																																									
				02	02	0																																																																																																																																																																																																																																																									
				03	03	0																																																																																																																																																																																																																																																									
				04	04	0																																																																																																																																																																																																																																																									
				05	05	0																																																																																																																																																																																																																																																									
				06	06	0																																																																																																																																																																																																																																																									
				07	07	0																																																																																																																																																																																																																																																									
				08	08	0																																																																																																																																																																																																																																																									
				09	09	0																																																																																																																																																																																																																																																									
				10	10	0																																																																																																																																																																																																																																																									
				11	11	0																																																																																																																																																																																																																																																									
				12	12	0																																																																																																																																																																																																																																																									
				13	13	0																																																																																																																																																																																																																																																									
				14	14	0																																																																																																																																																																																																																																																									
				15	15	0																																																																																																																																																																																																																																																									
				16	16	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Other																																																																																																																																																																																																																																																												
				OT	Other	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	IN KIND	K																																																																																																																																																																																																																																																													
			Variable type																																																																																																																																																																																																																																																												
				IV	Imputed value	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Type of income																																																																																																																																																																																																																																																												
				ED	Education	0																																																																																																																																																																																																																																																									
				HL	Health	0																																																																																																																																																																																																																																																									
				HO	Housing	0																																																																																																																																																																																																																																																									
				FB	Fringe Benefit	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Housing																																																																																																																																																																																																																																																												
				OO	Owned-occupied	0																																																																																																																																																																																																																																																									
				PB	Public	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Type / Period																																																																																																																																																																																																																																																												
				my	Months per year	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	SYSTEM	S																																																																																																																																																																																																																																																													
			Use																																																																																																																																																																																																																																																												
				DR	Drop	0																																																																																																																																																																																																																																																									
				ES	Equivalence Scale	0																																																																																																																																																																																																																																																									
				GL	General use	0																																																																																																																																																																																																																																																									
				IN	Intermediate	0																																																																																																																																																																																																																																																									
				MO	Module Output	0																																																																																																																																																																																																																																																									
				NG	Net to gross	0																																																																																																																																																																																																																																																									
				OP	Output	0																																																																																																																																																																																																																																																									
				TM	Temporary variable	0																																																																																																																																																																																																																																																									
				TU	Tax Unit	0																																																																																																																																																																																																																																																									
				TX	Tax	0																																																																																																																																																																																																																																																									
				UR	Uprating	0																																																																																																																																																																																																																																																									
				TK	Take up	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Personal/Family Characteristics																																																																																																																																																																																																																																																												
				CH	Child	1	1 yes	0 no																																																																																																																																																																																																																																																							
				FT	Family type	1	"1 Single,"	"2 Married,"	"3 Single with Children,"	4 Married With Children																																																																																																																																																																																																																																																					
				HH	Head of Household	1	1 yes	0 no																																																																																																																																																																																																																																																							
				HU	Head of Unit	1	1 yes	0 no																																																																																																																																																																																																																																																							
				ID	Identification Number	0																																																																																																																																																																																																																																																									
				NA	# Adults	0																																																																																																																																																																																																																																																									
				NC	# Children	0																																																																																																																																																																																																																																																									
				NE	# Earners	0																																																																																																																																																																																																																																																									
				NP	# Persons	0																																																																																																																																																																																																																																																									
				NT	# Tax Units	0																																																																																																																																																																																																																																																									
				PR	Person	0																																																																																																																																																																																																																																																									
				ND	# of disabled	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Tax Related																																																																																																																																																																																																																																																												
				TS	Schedule	0																																																																																																																																																																																																																																																									
				TC	Tax Credit	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Income																																																																																																																																																																																																																																																												
				EY	Employment income	0																																																																																																																																																																																																																																																									
				IY	Investment income	0																																																																																																																																																																																																																																																									
				SY	Self-employment income	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Expenditure																																																																																																																																																																																																																																																												
				LX	Ln of Total Expenditure	0																																																																																																																																																																																																																																																									
				X2	Total Square	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Net to Gross Related																																																																																																																																																																																																																																																												
				GN	New Gross	0																																																																																																																																																																																																																																																									
