VARIABLES	"Variable
Name"	Model Generated	Monetary	Default Variable	"Default
Value"	"Automatic
Label"																												
	pdiuc_s	1	1	n/a	1E-13	pension : disability : unconditional/universal : simulated	-	-	-	-	nursing allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pfa	0	1	n/a	0	pension : family	-	-	-	-	-	-	-	-	-	-	lifetime pension for mothers of many-children (?????? ??????? ?????????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	phl	0	1	n/a	0	pension : health	Sickness related Benefits	"Invalidity (and other ben, taxable)"	-	"Sickness related Benefits, Pension (Betegséggel kapcsolatos juttatások, rokkantnyugdíj) "	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	phlmy	0	0	n/a	0.0000000000001	pension : health : months per year	-	Months per year - phl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pls	0	1	n/a	0	pension : lump-sum	-	-	-	-	-	holiday bonus for pensioners	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pmy	0	0	n/a	0	pension : months per year	-	pension: no. months received in the year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poa	0	1	n/a	0	pension : old age	Old Age Pension	Old Age Pension	-	old age income (öregségi/saját jogú nyugdíj)	pension : old age	old-age pension (starostna pokojnina)	Old Age Pension	Old age pension (Starobni duchod)	PEN old-age pension (pension por vejez)	-	total old age pensions	-	-	-	-	-	-	-	-	-	-	-	-	Old Age Pension	Old Age Pension	-	-	
	poa_s	1	1	n/a	1E-13	pension : old age : simulated	part of pensions included in net own means	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poa00	0	1	n/a	0	pension : old age : main/basic	-	-	old age pension	-	old-age insurance pension	-	-	-	PEN contributory old-age pension (pension por vejez contributiva)	-	main old age pension (????? ??????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poaab	0	1	n/a	0	pension : old age : abroad	-	-	old age pension abroad	-	old-age pension from abroad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poacm	0	1	n/a	0	pension : old age : complement	-	-	-	-	nursing supplement	-	-	-	PEN contributory old-age pension complement (complemento por minimo a pension por vejez)	-	supplementary old age pension (?????????? ??????? ???????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poacm_s	1	1	n/a	1E-13	pension : old age : complement : simulated	-	-	-	-	pension : old age : complement : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poacmdi	0	1	n/a	1E-13	pension : old age : complement : disability	-	-	-	-	Nursing Supplement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poacmoa	0	1	n/a	1E-13	pension : old age : complement : old age	-	-	-	-	Nursing Supplement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poacmsu	0	1	n/a	1E-13	pension : old age : complement : survivors	-	-	-	-	Nursing Supplement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poact	0	1	n/a	0	pension : old age : contributory	-	-	-	-	-	-	-	-	-	-	-	-	-	-	state pension (contributory)	-	-	-	-	-	-	Old-age contributory pension (pensao contributiva de velhice)	-	-	-	-	-	
	poact_s	1	1	n/a	1E-13	pension : old age : contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	state pension (contributory)	-	-	-	-	-	-	contributory old-age pension (after simulated minimum pension)	-	-	-	-	-	
	poafr	0	1	n/a	1E-13	pension : old age : farmer	-	-	-	-	pension : old age : farmer	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poals	0	1	n/a	0	pension : old age : lump-sum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	lump-sum retirement pension	-	-	-	-	-	-	-	-	-	-	-	-	
	poamt	0	1	n/a	0	pension : old age : means-tested	-	Social pension (Pensione / Assegno sociale)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poamt00_s	1	1	n/a	1E-13	pension : old age : means-tested : main/basic : simulated	-	Social pension - Main	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poamt01_s	1	1	n/a	1E-13	pension : old age : means-tested : 01 : simulated	-	Social pension - maggiorazione	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poamt02_s	1	1	n/a	1E-13	pension : old age : means-tested : 02 : simulated	-	Social pension - Aumento	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poamt_s	1	1	n/a	1E-13	pension : old age : means-tested : simulated	-	-	-	"social assistance, old-age allowance (id?skorúak járadéka)"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poamy	0	0	n/a	0	pension : old age : months per year	-	-	-	-	liczba miesi?cy otrzymywania emerytury	no. months receiving old-age pension (število mesecev prejemanja starostne pokojnine)	-	Months during last 12 months collecting  old-age pension(pocet mesicu v poslednich 12 mesicich kdy byl pobiran starobni duchod)	no. months receiving old-age pension (n. de meses recibiendo pension por vejez)	-	-	-	-	-	-	-	-	-	-	-	-	no. months receiving old-age pension (nº de meses a receber pensão de velhice)	-	no. months receiving old-age pension 	no. months receiving old-age pension 	-	-	
	poanc	0	1	n/a	0	pension : old age : non-contributory	-	-	-	-	-	state pension (državna pokojnina)	-	-	PEN non contributory old-age pension (pension no contributiva por vejez)	-	-	-	-	-	-	-	-	-	-	-	-	pension : old age : non-contributory	-	-	-	-	-	
	poanc00_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : main/basic : simulated	-	-	-	-	-	-	-	-	PEN main old-age non contributory pension (parte principal de la prestacion no contributiva por vejez)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poanc_s	1	1	n/a	1E-13	pension : old age : non-contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pension : old age : non-contributory : simulated	-	-	-	-	-	
	poancna_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : national government : simulated	-	-	-	-	-	-	-	-	PEN national complement to non contributory old-age pension (complemento estatal para pension no contributiva por vejez)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poancrg_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : regional government : simulated	-	-	-	-	-	-	-	-	PEN regional complement to non contributory old-age pension (complemento autonómico para pension no contributiva por vejez)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poant	0	1	n/a	1E-13	pension : old age : not taxable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	non taxable old age pnsions	-	-	
	poaot	0	1	n/a	0	pension : old age : other	-	-	-	-	pension : old age : other	-	-	-	other old-age benefits (otras prestaciones por vejez)	-	minor old age pensions	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	poaps	0	1	n/a	0	pension : old age : private sector	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pension from other employment	-	-	-	-	-	-	-	-	-	-	-	-	
	poapu	0	1	n/a	0	pension : old age : public sector	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pension from public sector employment	-	-	-	-	-	-	-	-	-	-	-	-	
	poasp	0	1	n/a	1E-13	pension : old age : social contribution pay back	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	old age social pension	-	-	
	poass	0	1	n/a	0	pension : old age : social security	-	Old age pension (Pensione di vecchiaia o di anzianita')	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Old-age state social security benefit (Valsts soci?l? nodrošin?juma pabalsts saist?b? ar vecumu)	-	-	-	
	poass_s	1	1	n/a	1E-13	pension : old age : social security : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	social security old age pension	-	-	-	
	poatx	0	1	n/a	1E-13	pension : old age : taxable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Taxable old age pensions	Taxable old age pensions	-	-	
	pss_s	1	1	n/a	1E-13	pension : social security : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	State social securty benefit (Valsts soci?l? nodrošin?juma pabalsts)	-	-	-	
	psu	0	1	n/a	0	pension : survivors	survivor pensions	survivor pensions	survivors' pension (toitjakaotuspension)	survivor benefits (hozzátartozói jogon járó nyugdíj)	survivor pensions	survivor pension (družinska pokojnina)	-	Survivors pension (vdovsky duchod)	PEN survivor pension (pension por supervivencia)	-	-	-	-	-	-	-	-	-	-	-	-	survivor pension (pensão de sobrevivência)	-	survivor pensions	survivor pensions	-	-	
	psu00	0	1	n/a	0	pension : survivors : main/basic	-	-	-	-	pension : survivors : main/basic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"Widow's, widower's and orphan's pension"	-	
	psu_s	1	1	n/a	1E-13	pension : survivors : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	psumy	0	0	n/a	0	pension : survivors : months per year	-	-	-	-	liczba miesi?cy otrzymywania renty rodzinnej	no. months receiving survivor pension (število mesecev prejemanja družinske pokojnine)	-	Months during last 12 months collecting  survivors pension (pocet mesicu v poslednich 12 mesicich kdy byl pobiran vdovsky duchod)	no. months receiving survivor pension (n. de meses recibiendo pension por supervivencia)	-	-	-	-	-	-	-	-	-	-	-	-	no. months receiving survivor pension (nº de meses a receber pensão de sobrevivência)	-	no. months receiving survivor pension 	no. months receiving survivor pension 	-	-	
	psuor	0	1	n/a	0	pension : survivors : orphan	-	-	-	-	orphan pension	-	-	-	-	-	orphan's pension	-	-	-	-	-	-	-	-	-	-	-	-	-	orphan's pension	-	-	
	psuot	0	1	n/a	0	pension : survivors : other	-	-	-	-	pension : survivors : other	-	-	-	PEN other survivor pension (otra pension de supervivencia)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	other survivor pensions	-	-	
	psuss	0	1	n/a	0	pension : survivors : social security	-	Survivor pension (Pensione di reversibilita')	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	State social security benefit for a survivor (Valsts soci?l? nodrošin?juma pabalsts apg?dnieka zaud?šanas gad?jum?)	-	-	-	
	psuss_s	1	1	n/a	1E-13	pension : survivors : social security : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Social security survivor pension	-	-	-	
	psutx	0	1	n/a	1E-13	pension : survivors : taxable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Taxable part of survivor's pension (Ar nodokli apliekam? pensijas par apg?dnieka zaud?jumu da?a)	-	-	-	
	psuwd	0	1	n/a	0	pension : survivors : widow	-	-	-	-	-	-	-	-	-	-	survivors' pensions	-	-	-	-	-	-	-	-	-	-	-	-	-	widow pension	-	-	
	psuwd00	0	1	n/a	0	pension : survivors : widow : main/basic	-	-	-	-	-	-	-	-	PEN contributory widow pension (pension por viudedad contributiva)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdcm	0	1	n/a	0	pension : survivors : widow : complement	-	-	-	-	-	-	-	-	PEN contributory widow pension complement (complemento por minimo a pension por viudedad)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdcm_s	1	1	n/a	1E-13	pension : survivors : widow : complement : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdct	0	1	n/a	0	pension : survivors : widow : contributory	-	-	-	-	-	-	-	-	-	-	-	-	-	-	widows contributory pension	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdct_s	1	1	n/a	1E-13	pension : survivors : widow : contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	widows contributory pension	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdnc	0	1	n/a	0	pension : survivors : widow : non-contributory	-	-	-	-	-	-	-	-	-	-	-	-	-	-	widows non-contributory pension	-	-	-	-	-	-	-	-	-	-	-	-	
	psuwdnc_s	1	1	n/a	1E-13	pension : survivors : widow : non-contributory : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	widows non-contributory pension	-	-	-	-	-	-	-	-	-	-	-	-	
	pxp_s	1	1	n/a	1E-13	pension : extra pay : simulated	-	-	-	-	-	-	-	-	-	-	compensations for pension reduction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pyr	0	1	n/a	0	pension : early retirement	-	-	-	-	early retirement pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pyr_s	1	1	n/a	1E-13	pension : early retirement : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	state pension (transition)	-	-	-	-	-	-	-	-	-	-	-	-	
	sel01_s	1	0	n/a	0.0000000000001	system : eligibility : 01 : simulated	-	-	-	-		-	-			eligibility	eligibility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sel_s	1	0	n/a	1E-13	system : eligibility : simulated	Eligibility	Eligibility	Eligibility	Eligibility		Eligibility	Eligibility			Eligibility	Eligibility	Eligibility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sgl_s	1	1	n/a	1E-13	system : general use : simulated	-	Data year	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin01_s	1	1	n/a	1E-13	system : intermediate : 01 : simulated	-	-	-	-		-	-	Self-employed SIC: contribution base	tsc:Type of employee/er social contribution	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin02_s	1	1	n/a	1E-13	system : intermediate : 02 : simulated	-	-	-	-		-	-	Self-employed SIC: maximum contribution base	tsc: Type of self-employed social contribution	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin03_s	1	1	n/a	1E-13	system : intermediate : 03 : simulated	-	-	-	-		-	-		bch00: income test limit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin04_s	1	1	n/a	1E-13	system : intermediate : 04 : simulated	-	-	-	-		-	-	"Income tax: other income, pensions above exemption limit"	tinit: Personal Tax Allowance (Minimo Personal)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin05_s	1	1	n/a	1E-13	system : intermediate : 05 : simulated	-	-	-	-		-	-	Income tax: ficticious income for disabled	tinit: Family Tax Allowance for Children (Mínimo Familiar por Hijos)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin06_s	1	1	n/a	1E-13	system : intermediate : 06 : simulated	-	-	-	-		-	-		tinit: Family Tax Allowance for Dependent Parents (Mínimo Familiar por Ascendiente) 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin07_s	1	1	n/a	1E-13	system : intermediate : 07 : simulated	-	-	-	-		-	-	Total minimum living standard (MLS)	tinit: Employment Income Tax Allowance  (Deducción por Rendimientos del Trabajo)  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin08_s	1	1	n/a	1E-13	system : intermediate : 08 : simulated	-	-	-	-		-	-		bunnc: number of eligible family members	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin09_s	1	1	n/a	1E-13	system : intermediate : 09 : simulated	-	-	-	-		-	-	Multiplying factors for household MLS 	tinit: Mortgage tax credit (Deducción por inversión en vivienda habitual: Adquisición o rehabilitación de la vivienda habitual) 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin10_s	1	1	n/a	1E-13	system : intermediate : 10 : simulated	-	-	-	-		-	-	"Adult and household minimum living standard (MLS), multiplied by factor"	poanc: income limit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin11_s	1	1	n/a	1E-13	system : intermediate : 11 : simulated	-	-	-	-		-	-		tintj: Personal Tax Allowance (Minimo Personal)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin12_s	1	1	n/a	1E-13	system : intermediate : 12 : simulated	-	-	-	-		-	-	Children minimum living standard (MLS)	tintj: Family Tax Allowance for Children (Mínimo Familiar por Hijos)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin13_s	1	1	n/a	1E-13	system : intermediate : 13 : simulated	-	-	-	-		-	-	Total MLS	tintj: Family Tax Allowance for Dependent Parents (Mínimo Familiar por Ascendiente) 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin14_s	1	1	n/a	1E-13	system : intermediate : 14 : simulated	-	-	-	-		-	-	Total minimum living standard (MLS)	tintj: Employment Income Tax Allowance  (Deducción por Rendimientos del Trabajo)  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin15_s	1	1	n/a	1E-13	system : intermediate : 15 : simulated	-	-	-	-		-	-	Household minimum living standard (MLS)	bch00: disability as a monetary variable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin16_s	1	1	n/a	1E-13	system : intermediate : 16 : simulated	-	-	-	-		-	-	imputed self-employment income for income test of social benefits	tinjt: Mortgage tax credit (Deducción por inversión en vivienda habitual: Adquisición o rehabilitación de la vivienda habitual) 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin17_s	1	1	n/a	1E-13	system : intermediate : 17 : simulated	-	-	-	-		-	-	Housing cost limited by normative housing costs	tintj: eligible for joint taxation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin18_s	1	1	n/a	1E-13	system : intermediate : 18 : simulated	-	-	-	-		-	-	Total minimum living standard for social assistance	bunct: no of days worked in the qualifying period	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin19_s	1	1	n/a	1E-13	system : intermediate : 19 : simulated	-	-	-	-		-	-		bunct: minimum unemployment insurance amount	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin20_s	1	1	n/a	1E-13	system : intermediate : 20 : simulated	-	-	-	-		-	-		bunct: maximum unemployment insurance amount	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin21_s	1	1	n/a	1E-13	system : intermediate : 21 : simulated	-	-	-	-		-	-		poacm: minimum pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin22_s	1	1	n/a	1E-13	system : intermediate : 22 : simulated	-	-	-	-		-	-		psuwdcm: minimum pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin23_s	1	1	n/a	1E-13	system : intermediate : 23 : simulated	-	-	-	-		-	-		bunnc: unemployment spell not covered by unemployment insurance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin24_s	1	1	n/a	1E-13	system : intermediate : 24 : simulated	-	-	-	-		-	-		bunct: number of dependent children	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin25_s	1	1	n/a	1E-13	system : intermediate : 25 : simulated	-	-	-	-		-	-		bunct: amount per month	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin26_s	1	1	n/a	1E-13	system : intermediate : 26 : simulated	-	-	-	-		-	-		bunnc: number of dependent children	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin27_s	1	1	n/a	1E-13	system : intermediate : 27 : simulated	-	-	-	-		-	-		tsc: contribution group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin28_s	1	1	n/a	1E-13	system : intermediate : 28 : simulated	-	-	-	-		-	-		tinjt: Joint Tax Allowance (Deducción por declaración conjunta)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin29_s	1	1	n/a	1E-13	system : intermediate : 29 : simulated	-	-	-	-		-	-		tinit: Main residence rent tax credit (Deducción por alquiler de vivienda habitual)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin30_s	1	1	n/a	1E-13	system : intermediate : 30 : simulated	-	-	-	-		-	-		tinjt: Main residence rent tax credit (Deducción por alquiler de vivienda habitual)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin31_s	1	1	n/a	1E-13	system : intermediate : 31 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin32_s	1	1	n/a	1E-13	system : intermediate : 32 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin33_s	1	1	n/a	1E-13	system : intermediate : 33 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin34_s	1	1	n/a	1E-13	system : intermediate : 34 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin35_s	1	1	n/a	1E-13	system : intermediate : 35 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin36_s	1	1	n/a	1E-13	system : intermediate : 36 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin37_s	1	1	n/a	1E-13	system : intermediate : 37 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin38_s	1	1	n/a	1E-13	system : intermediate : 38 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin39_s	1	1	n/a	1E-13	system : intermediate : 39 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin40_s	1	1	n/a	1E-13	system : intermediate : 40 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin41_s	1	1	n/a	1E-13	system : intermediate : 41 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin42_s	1	1	n/a	1E-13	system : intermediate : 42 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin43_s	1	1	n/a	1E-13	system : intermediate : 43 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin44_s	1	1	n/a	1E-13	system : intermediate : 44 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin45_s	1	1	n/a	1E-13	system : intermediate : 45 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin46_s	1	1	n/a	1E-13	system : intermediate : 46 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin47_s	1	1	n/a	1E-13	system : intermediate : 47 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin48_s	1	1	n/a	1E-13	system : intermediate : 48 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin49_s	1	1	n/a	1E-13	system : intermediate : 49 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sin50_s	1	1	n/a	1E-13	system : intermediate : 50 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	snc_s	1	0	n/a	1E-13	system : # children : simulated	-	-	-	-		-	-			no. of children	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	sncnd_s	1	0	n/a	1E-13	system : # children : # of disabled : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	snd_s	1	0	n/a	1E-13	system : # of disabled : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	srr_s	1	0	n/a	0.0000000000001	system : replacement rate : simulated	-	-	-	-		-	-			replacement rate (for maternity benefit)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk01_s	1	0	n/a	0.0000000000001	system : take up : 01 : simulated	-	-	-	-		-	-			-	-	Take up rate - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk02_s	1	0	n/a	0.0000000000001	system : take up : 02 : simulated	-	-	-	-		-	-			-	-	Take up rate - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk03_s	1	0	n/a	0.0000000000001	system : take up : 03 : simulated	-	-	-	-		-	-			-	-	Take up - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk04_s	1	0	n/a	0.0000000000001	system : take up : 04 : simulated	-	-	-	-		-	-			-	-	Take up - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk05_s	1	0	n/a	0.0000000000001	system : take up : 05 : simulated	-	-	-	-		-	-			-	-	Take up - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stk06_s	1	0	n/a	0.0000000000001	system : take up : 06 : simulated	-	-	-	-		-	-			-	-	Take up - random number	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm01	0	0	n/a	0	system : temporary variable : 01	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm01_s	1	1	n/a	1E-13	system : temporary variable : 01 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm02_s	1	1	n/a	1E-13	system : temporary variable : 02 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm03_s	1	1	n/a	1E-13	system : temporary variable : 03 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm04_s	1	1	n/a	1E-13	system : temporary variable : 04 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm05_s	1	1	n/a	1E-13	system : temporary variable : 05 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm06_s	1	1	n/a	1E-13	system : temporary variable : 06 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm07_s	1	1	n/a	1E-13	system : temporary variable : 07 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm08_s	1	1	n/a	1E-13	system : temporary variable : 08 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm09_s	1	1	n/a	1E-13	system : temporary variable : 09 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	stm10_s	1	1	n/a	1E-13	system : temporary variable : 10 : simulated	-	-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
